cpu,shard0,shard1,shard2,shard3,shard4,shard5,shard6,shard7,shard8,shard9,shard10,shard11,shard12,shard13,shard14,shard15,shard16,shard17,shard18,shard19,shard20,shard21,shard22,shard23,shard24,shard25,shard26,shard27,shard28,shard29,shard30,shard31,shard32,shard33,shard34,shard35,shard36,shard37,shard38,shard39,shard40,shard41,shard42,shard43,shard44,shard45,shard46,shard47,shard48,shard49,shard50,shard51,shard52,shard53,shard54,shard55,shard56,shard57,shard58,shard59,shard60,shard61,shard62,shard63
0,140603,62768,39313,28569,22695,18492,15710,14026,12186,11132,9969,9387,8534,8161,7624,7272,6690,6392,6090,5930,5765,5433,5461,5159,4868,4900,4597,4657,4474,4182,4209,4152,3935,3934,3881,3716,3737,3653,3602,3529,3498,3342,3424,3276,3227,3173,3105,3075,3071,2919,2906,2887,2909,2925,2840,2821,2795,2727,2705,2698,2631,2557,2508,2594
1,140160,62935,39708,28745,22316,18425,15852,13614,12414,10932,10036,9278,8543,7965,7728,7245,6752,6491,6076,5912,5716,5460,5360,5221,4945,4823,4576,4575,4450,4254,4186,4146,4016,3883,3873,3801,3593,3698,3645,3554,3509,3364,3296,3199,3232,3241,3075,3159,3059,3077,2931,2950,2830,2841,2838,2859,2783,2746,2781,2732,2687,2671,2628,2610
2,141121,62353,39191,28699,22574,18170,15765,13703,12302,11071,9910,9274,8711,8156,7717,7051,6819,6526,6143,5779,5633,5458,5393,5170,5015,4867,4658,4467,4523,4313,4126,4050,3974,3984,3849,3744,3758,3670,3585,3487,3427,3476,3386,3255,3259,3113,3185,3140,3049,3129,2919,2913,2954,2914,2873,2803,2694,2825,2772,2651,2640,2730,2570,2564
3,140444,62484,39491,28546,22490,18693,15778,13793,12336,11193,10111,9387,8683,8122,7358,7158,6841,6467,6104,5877,5790,5596,5300,5081,5028,4863,4524,4548,4536,4250,4324,4067,4018,3965,3866,3823,3634,3612,3518,3453,3418,3368,3370,3438,3185,3128,3163,3127,3095,2984,2914,2955,2800,2808,2801,2785,2758,2886,2696,2635,2613,2626,2675,2620
4,94072,41830,26173,19187,14927,12372,10664,9313,8165,7184,6741,6276,5547,5358,5019,4691,4616,4235,4181,4080,3793,3628,3559,3412,3371,3203,3065,3044,2890,2854,2752,2732,2643,2664,2521,2561,2418,2415,2388,2328,2323,2302,2155,2217,2233,2172,2078,2025,1988,2008,2033,1925,1926,1814,1886,1891,1853,1786,1816,1759,1766,1741,1686,1745
5,93648,41686,26350,18942,14978,12369,10660,9162,8313,7336,6757,6168,5773,5307,5086,4716,4460,4352,4161,4002,3763,3602,3490,3376,3315,3093,3108,3081,2889,2942,2793,2751,2749,2664,2571,2550,2542,2415,2337,2416,2360,2231,2230,2223,2119,2103,2160,2116,2058,2040,1926,1923,1958,1908,1933,1833,1843,1793,1778,1849,1751,1762,1733,1697
