cpu,shard0,shard1,shard2,shard3,shard4,shard5,shard6,shard7,shard8,shard9,shard10,shard11,shard12,shard13,shard14,shard15,shard16,shard17,shard18,shard19,shard20,shard21,shard22,shard23,shard24,shard25,shard26,shard27,shard28,shard29,shard30,shard31,shard32,shard33,shard34,shard35,shard36,shard37,shard38,shard39,shard40,shard41,shard42,shard43,shard44,shard45,shard46,shard47,shard48,shard49,shard50,shard51,shard52,shard53,shard54,shard55,shard56,shard57,shard58,shard59,shard60,shard61,shard62,shard63
0,140960,62645,39333,28485,22699,18371,15786,13901,12060,11159,10073,9435,8661,8104,7476,7219,6624,6402,6160,5983,5757,5556,5375,5186,4857,4714,4713,4740,4382,4127,4241,4154,3940,4022,3869,3703,3661,3646,3557,3526,3402,3363,3413,3308,3193,3218,3192,3038,3046,2931,2883,2936,2932,2884,2891,2808,2800,2781,2697,2686,2593,2636,2581,2526
1,139925,62952,39475,28981,22259,18506,15856,13710,12324,11008,10061,9263,8583,8044,7673,7177,6872,6446,6193,5964,5646,5547,5359,5254,5001,4781,4648,4567,4523,4255,4184,4174,3910,3924,3908,3812,3663,3675,3612,3504,3476,3380,3270,3288,3189,3235,3092,3064,3091,3065,2969,3010,2847,2866,2824,2865,2794,2749,2671,2697,2630,2612,2585,2512
2,140445,62848,39369,28590,22462,18118,15851,13752,12260,11107,9935,9099,8697,8225,7811,6873,6805,6411,6202,5809,5777,5455,5470,5216,4962,4838,4688,4484,4468,4267,4199,4125,4011,3957,3860,3817,3806,3749,3552,3451,3391,3505,3280,3266,3286,3097,3112,3104,3137,3052,2924,2932,2917,2917,2911,2788,2640,2859,2770,2767,2693,2695,2568,2568
3,140696,62420,39408,28585,22509,18642,15763,13724,12344,11128,10118,9369,8616,8156,7426,7103,6857,6366,6121,6024,5718,5513,5377,5229,4957,4718,4663,4522,4396,4368,4350,4054,3976,3971,3954,3719,3661,3591,3536,3481,3445,3375,3384,3341,3131,3184,3182,3102,3081,2939,2947,2963,2949,2830,2813,2852,2658,2776,2697,2589,2701,2641,2678,2613
4,94319,41414,26157,19122,15215,12298,10586,9304,8055,7372,6721,6260,5585,5364,5067,4748,4517,4269,4140,3984,3820,3628,3553,3423,3327,3160,3071,2994,2907,2937,2745,2733,2583,2568,2523,2501,2418,2413,2323,2298,2380,2250,2264,2256,2098,2164,2068,2059,2050,2063,2045,1916,1978,1922,1868,1870,1906,1881,1768,1721,1795,1810,1710,1736
5,93632,41812,26417,19062,14894,12247,10582,9263,8194,7416,6740,6326,5717,5352,5122,4794,4463,4285,4145,3994,3698,3537,3530,3440,3238,3187,3118,3096,2908,2888,2767,2693,2686,2692,2664,2555,2462,2409,2343,2312,2296,2271,2243,2154,2144,2159,2134,2127,2056,2032,1936,1853,1961,1917,1956,1841,1862,1816,1798,1701,1752,1768,1751,1792
