mode,threads,ops_per_thread,key_space,distribution,read_pct,throughput_ops_s,lat_min_ns,lat_max_ns,lat_avg_ns,total_updates,total_reads,total_sum,cpu_usr_pct,cpu_sys_pct,cpu_idle_pct,cpu_iowait_pct,cpu_total_pct
1,8,200000,1024,uniform,0,5170962.16,192,148152654,1009,1600000,0,1600000,6.2,21.0,71.6,0.0,27.2
1,16,200000,1024,uniform,0,5764993.12,190,263805258,1374,3200000,0,3200000,3.1,11.5,85.4,0.0,14.6
2,1,200000,1024,uniform,0,2517064.60,177,460409,337,200000,0,200000,4.4,13.3,80.0,0.0,17.8
2,2,200000,1024,uniform,0,3533186.75,177,4249898,498,400000,0,400000,2.4,2.4,95.1,0.0,4.9
2,4,200000,1024,uniform,0,4079429.82,177,2691707,519,800000,0,800000,5.1,16.7,78.2,0.0,21.8
2,8,200000,1024,uniform,0,6192424.34,178,32619944,897,1600000,0,1600000,8.8,26.3,64.9,0.0,35.1
2,16,200000,1024,uniform,0,6508253.09,178,58279494,1707,3200000,0,3200000,11.1,31.1,56.7,0.0,42.2
3,1,200000,1024,uniform,0,393156.74,1417,3867495,2506,200000,0,200000,0.4,13.0,85.5,0.0,13.4
3,2,200000,1024,uniform,0,484860.54,1417,4930676,3481,400000,0,400000,0.5,14.6,82.9,0.0,15.1
3,4,200000,1024,uniform,0,717072.64,1420,12317768,5015,800000,0,800000,1.2,31.0,60.3,0.2,32.3
3,8,200000,1024,uniform,0,652466.43,1419,397985924,9126,1600000,0,1600000,1.3,37.1,51.3,5.1,38.4
3,16,200000,1024,uniform,0,517919.62,1475,1045599144,25851,3200000,0,3200000,1.8,49.2,24.8,14.2,51.0
4,1,200000,1024,uniform,0,3111338.45,200,919328,278,200000,0,200000,7.7,35.9,41.0,12.8,43.6
4,2,200000,1024,uniform,0,3900629.40,196,356388,467,400000,0,400000,4.4,17.8,77.8,0.0,22.2
4,4,200000,1024,uniform,0,4011406.45,186,863341,465,800000,0,800000,2.6,12.8,84.6,0.0,15.4
4,8,200000,1024,uniform,0,5765365.24,182,64820549,950,1600000,0,1600000,5.3,24.6,70.2,0.0,29.8
4,16,200000,1024,uniform,0,6375631.13,177,253265624,1272,3200000,0,3200000,8.7,18.8,72.5,0.0,27.5
0,1,200000,1024,zipfian,80,3237024.36,187,260588,242,40056,159944,40056,5.7,17.1,77.1,0.0,22.9
0,2,200000,1024,zipfian,80,1306429.15,186,144799951,577,80123,319877,80123,1.2,6.8,92.0,0.0,8.0
